OBJECTID,REGIONNAME,ZONENAME,WOREDANO_,WOREDANAME,GlobalID,Shape__Area,Shape__Length
401,Oromia,Arsi,40816,Tiyo,a589867f-38ea-43b3-befa-6a4385dc1ff5,650279786.3,117418.7767
402,Oromia,Jimma,40405,Kersa,016cb06e-922f-4f4e-a2ad-aaba15fec704,1054004874,144666.5055
403,Oromia,Jimma,40403,Sekoru,670c6de9-9aa0-48bc-85db-723c2d1e71cc,939416401.2,209537.3402
404,Oromia,Arsi,40812,Robe,0c7c22ae-467a-4003-bc02-ac71b8745e67,1342053585,240103.8423
405,Oromia,Jimma,40408,Gera,88ccfafb-b46b-4c46-9dae-f2725dc29c75,1385580542,179731.5528
406,Oromia,Jimma,40406,Mena,f49c6a18-acb9-4793-94d3-a3108378aa35,538544219.8,95131.47311
407,Oromia,Arsi,40811,Seru,5a9f822c-f869-4852-8d9e-b288dadda245,1695061645,225996.6163
408,Oromia,Arsi,40815,Degeluna Tijo,9c8b818f-1e71-47c5-92ce-126cd3b7532e,997542276.3,134422.4522
409,Oromia,Bale,41105,Gololcha Bale,590a55aa-6428-48e4-8424-5bebe1289c48,2380394717,264442.7515
410,Oromia,Jimma,40411,Omo Nada,518f362b-e978-4390-8e93-08fc2d2b0b44,1720167043,187679.7881
411,Oromia,Arsi,40817,Munessa,f610a5f1-96e0-4a69-ba10-1d9c1578147b,1065141222,167013.8783
412,Oromia,Jimma,40414,Shebe Sambo,af94dd45-e702-4a3b-a987-e5ec203f03fc,1272157910,155560.3136
413,Oromia,Bale,41118,Seweyna,fe907ba5-b5af-4e00-8b33-b4c1025c4f49,8233843016,646049.556
414,Oromia,Arsi,40814,Shirka,0329c05e-4c75-4388-bfed-b9ff55716990,1043015226,160800.0074
415,Oromia,West Arsi,41703,Arsi Negele,37ff2705-6ef2-47d0-9e82-e8da51417f7d,1866345640,221824.0901
416,Oromia,Jimma,40410,Dedo,8c4e1861-7d01-44cb-abb0-0d2a5a4e44eb,1464564931,181755.4632
417,Oromia,Arsi,40818,Limu Bilbilo,333888b3-eec5-45a6-853c-0770d230339a,1230770717,183522.6266
418,Oromia,West Arsi,41702,Shalla,bcbff057-7a12-4d4c-8c7f-157e552e9d94,947712045,160876.8712
419,Oromia,Bale,41104,Agarfa,3e662ff7-ebe7-4c97-a4a3-6edae54affbd,1245230008,171669.073
420,Oromia,Bale,41121,Dawe Kachen,0d4a01ff-8f04-46d5-9319-9496320503fe,1750401801,211797.0973
421,Oromia,West Arsi,41707,Dodola,66c72ea3-1ce0-4869-a1e5-6294ef46cb0d,1618872693,188372.68
422,Oromia,Bale,41110,Goba,62fb9bb0-b17d-4b23-8887-1716faf99c21,1685114177,217330.7436
