Region,Zone,District,Town,Population,Biowaste,Latitude,Longitude,,,
Amhara,Awi,BANJA SHEKUDAD,"Injibara ( 6,304 )",47498,6304.5,10.8668,36.9724,,,
Somali,Degehabur,DEGEHABUR,"Degehabur ( 6,262 )",47179,6262.2,8.2189,43.5584,,,
Amhara,North Gondar  ,DEBARK,"Debarq ( 6,216 )",46835,6216.5,13.1581,37.9003,,,
Tigray,Western  ,HUMERA,"Humera ( 6,116 )",46080,6116.3,14.2894,36.6073,,,
Amhara,West Gojam ,BURE,"Bure (Gojjam) ( 6,110 )",46033,6110.1,10.7063,37.0612,,,
Somali,Korahe ,KEBRIDEHAR,"Kebri Dahar ( 6,094 )",45913,6094.2,6.7333,44.2667,,,
Amhara,South Gondar ,LAY GAYINT,"Nefas Mewcha ( 5,865 )",44188,5865.2,11.7357,38.4719,,,
Amhara,Oromiya,KEMISE,"Kemise ( 5,812 )",43791,5812.5,10.717,39.867,,,
Amhara,West Gojam ,YILMANA DENSA,"Adet ( 5,736 )",43218,5736.4,11.2667,37.4833,,,
Oromia,West Arsi,DODOLA,"Dodola ( 5,732 )",43186,5732.2,6.9792,39.1804,,,
SNNP,Gedeo,GEDEB,"Geden (5,690)",42867,5689.9,5.917,38.2493,,,
Amhara,West Gojam ,MECHA,"Mecha ( 5,596 )",42159,5595.9,11.5,37,,,
SNNP,Hadiya,MISRAK BADAWOCHO,"Shone ( 5,567 )",41942,5567.1,7.1398,37.9546,,,
Somali,Liben,DOLO ODO,"Dolo, Eth ( 5,488 )",41350,5488.5,4.1667,42.0667,,,
Oromia,North Shewa,KUYU,"Gerba Guracha ( 5,472 )",41225,5471.9,9.8089,38.4156,,,
SNNP,Gedeo,YIRGA CHEFE,"Irgachefe ( 5,392 )",40627,5392.5,6.167,38.2,,,
Oromia,Ilu Ababora,BEDELE,"Bedele ( 5,373 )",40483,5373.4,8.45,36.35,,,
Amhara,North Shewa,KEWET,"Shewa Robit ( 5,260 )",39633,5260.6,9.9947,39.8969,,,
Oromia,West Wollega,NEJO,"Nejo ( 5,229 )",39399,5229.5,9.5,35.5,,,
Amhara,Bahir Dar Special,BAHIR DAR,"Tis Abay ( 5,200 )",39181,5200.6,11.49004589,37.5885978,,,
