OBJECTID,REGIONNAME,ZONENAME,WOREDANO_,WOREDANAME,GlobalID,Shape__Area,Shape__Length
565,SNNPR,Gurage,70111,Enemorina Eaner,0c0352e5-0cee-49fc-a72f-9c53545c307d,844200069.4,129760.9018
566,SNNPR,Selti,72001,Alicho Woriro,8540896c-f3e1-44a5-ba4e-9e74eb85a20c,242635541.8,79175.62281
567,SNNPR,Selti,72002,Selti,bcebd139-07ac-444c-b067-7e32f369ba93,468360637.2,116069.4004
568,SNNPR,Yem,71201,Yem SP Woreda,cf2029de-45e7-4149-a3ba-a4d19ad92c7a,768792458,132836.4413
569,SNNPR,Hadiya,70202,Gibe,b56fb5f6-30aa-40fd-817a-c2e642c178c4,441854691.4,87876.61388
570,SNNPR,Selti,72003,Lanfero,2dada033-d4b6-42f0-898b-d5cdf037276f,505770851.4,117856.0613
571,SNNPR,Keffa,70902,Gesha (Deka),9a8920bd-3af7-4c89-80a6-12e2d7b50e71,689954109.3,142227.5409
572,SNNPR,Selti,72008,Wilbareg,610234d5-ab70-43a4-98a2-751d3d244e43,485096238.3,99303.14718
573,SNNPR,Hadiya,70206,Soro,8df3c75a-9724-4afd-a1cc-5ccdfbaad056,771082665.6,136469.5237
574,SNNPR,Sheka,70801,Masha,1bf31d82-d2a6-4ed5-908d-ae6ff12ee6fd,834310152.1,133950.1423
575,SNNPR,Keffa,70904,Gimbo,340a1dce-63ea-4045-9102-72f5539cad28,810251171.5,142480.9161
576,SNNPR,Alaba,72101,Alaba SP Woreda,8c5b064d-971d-4ba3-bc7f-a8bdefa38eb2,881684309.1,167944.8215
577,SNNPR,KAT,70302,Anigacha,9766baea-56e8-4d1b-a36a-7cf3927a4922,164555280.7,58724.29391
578,SNNPR,Keffa,70909,Chena,452f0a15-420d-41f8-a1f4-47e80f88ae54,1099058578,199931.8644
579,SNNPR,Wolayita,70601,Boloso sore,b0a349d3-f8a4-4047-b86e-c462f3e24dd5,297321612.5,89846.54023
580,SNNPR,Dawro,71702,Mareka,e8aa73d3-de4e-4dd7-9ed9-b48334c17893,436825015.7,98651.37079
581,SNNPR,Sidama,70420,Wondo-Genet,2e5f8c9c-1d9e-4eb7-af24-aa85755fefd1,227102105.8,77437.27447
582,SNNPR,Wolayita,70602,Damot Gale,2cbd0a1e-7f33-4542-89f3-b2ca326de114,271530092.2,91772.0832
583,SNNPR,Dawro,71705,Esira,c6d1c357-d40a-4c0f-9277-185a11f9cf6c,1081888182,139636.0972
584,SNNPR,Wolayita,70605,Sodo Zuria,2e77816a-17e8-4a69-8c6d-9cf570b6ef03,474228915.4,106874.6461
585,SNNPR,Sidama,70414,Loka-Abaya,d97f7c0d-3aa0-49b6-a0b6-169c23ea9928,962135307,181492.9848
586,SNNPR,Sidama,70403,Arbe Gonna,034af076-12d4-4bf4-8958-717321957994,289652895.7,96346.88192
587,SNNPR,Wolayita,70607,Ofa,45da5ee0-5c9b-4133-92c5-f90a4e599e61,384816929.6,88620.9138
588,SNNPR,Sidama,70407,Hulla,68b763e9-a486-409e-8d7e-e887825bab6a,295730733.8,113888.0006
589,SNNPR,Sidama,70417,Chuko,5c1c05e8-ec08-407f-8fe2-effee4a67308,306425491.2,92352.6137
590,SNNPR,Gamo Gofa,71001,Melekoza,20aeee7c-bd63-47ac-8393-86be05ce6fa6,1696409315,202122.5478
591,SNNPR,Gamo Gofa,71003,Kucha,95f6607e-f479-4008-b3ac-5a17f486dc6e,1483240735,157880.7645
592,SNNPR,Sidama,70415,Chire,ee0ed1fd-6b7c-4e84-85dd-7a3b7098abfb,403554442.7,148088.21
593,SNNPR,Gamo Gofa,71002,Denibu Gofa,c25f90d8-f688-4a20-bf0b-e74173f9b3a1,882234808.9,161492.5286
594,SNNPR,Sidama,70409,Aroresa,241cc0bc-5118-4300-914b-912e97ebd10b,747470622.2,156922.3961
595,SNNPR,Sidama,70406,Dara,949823dc-21ba-4931-a2fd-6c363a26e3bb,258646512.7,88915.5022
596,SNNPR,Bench Maji,71109,Surma,cb7b629e-7c79-4619-9621-159f588e8d8a,4806335842,374952.0162
597,SNNPR,South Omo,70701,Selamgo,dce222e8-805d-4c61-b830-7022c08b325e,4663489955,372774.6893
598,SNNPR,Bench Maji,71107,Maji,15e12294-1f20-40ca-9e31-42ca5286e62d,4598990240,351830.1552
599,SNNPR,Gamo Gofa,71007,Chencha,ee4c4dbe-4431-4491-8d76-e7c71635d1e7,377480360.7,92509.02217
600,SNNPR,Gamo Gofa,71008,Dita,f912db2e-ab32-4e66-a4f8-715af4894b05,352688514.3,97111.72987
601,SNNPR,Basketo,71801,Basketo SP Woreda,6d4e6807-06ee-4e14-bed1-814fff4b82b9,427341501.1,105015.4851
602,SNNPR,Gamo Gofa,71009,Daramalo,7f3a839d-188e-4861-91d1-0f20cd4e9701,367797070.1,78950.39915
603,SNNPR,Gedio,70504,Bule,9df3be20-8dc4-49a2-95d8-b4f634ae1167,251656228.7,83140.54857
604,SNNPR,Gedio,70502,Yirgachefe,0967b5aa-37bb-4755-a5cd-319c217224ca,330241472.7,108171.8825
605,SNNPR,Gamo Gofa,71016,Arba Minch Zuria,b69a38ce-37cb-41d9-825c-e44ba6449108,1649674266,191658.4277
606,SNNPR,Bench Maji,71104,Shay Bench,4a14b209-3353-40d3-8de0-83065a413d3a,569632453.1,128971.1862
607,SNNPR,Segen Peoples',71301,Amaro,73bfe6f1-700b-46f9-ac33-b88d85aeb30a,1584577116,182714.4947
608,SNNPR,Segen Peoples',71401,Burji,8b52385f-1a41-46cb-bf6e-6a3ce9525f27,1375144035,177641.3782
609,SNNPR,Segen Peoples',71501,Konso,545b2847-e9da-429e-a2ce-eba778211e58,2168148693,234280.0215
610,SNNPR,South Omo,70708,Gnangatom,ba9f3e12-5230-4dad-bed7-d2f7ad456696,2613029651,305835.7241
611,SNNPR,Gamo Gofa,71010,Zala,63425712-1024-422b-bb5e-52377c63940e,739936603.3,123414.6562
612,SNNPR,Gurage,70103,Ezha,1df2a5bf-bfc6-4855-9e05-8eccb22fb40a,467373936,120503.2766
613,SNNPR,Wolayita,70609,Damot Sore,016a05a7-5045-4714-bca8-26f638482655,182210462.9,83656.18603
614,SNNPR,Wolayita,70608,Boloso Bombe,a3d66390-c18b-47a4-943f-23f7ffaa0b86,276710666.2,78188.09705
615,SNNPR,Wolayita,70606,Kindo Koysha,5731a5ca-636f-406e-b008-8bd65a43d1cb,562104568.7,110462.0991
616,SNNPR,Wolayita,70610,Kindo Dida,0bc0c38c-13f1-4ea7-ae5f-dbc273ecae39,401616049,96671.60359
617,SNNPR,Wolayita,70611,Damot Pulasa,2133b256-6a49-47d0-a0fb-da115fcf482d,154984532.9,61143.71447
618,SNNPR,Sidama,70402,Hawassa Zuria,71c003c5-3f7e-44ec-b7a0-fdd5c3dd3bf0,302524008.8,82124.0854
619,SNNPR,Sidama,70419,Hawasa Town,84391f82-178a-4903-9946-f96c728f2f6d,271693932.8,80902.67251
620,SNNPR,Sidama,70412,Malga,252d3752-6ab0-4a3f-b820-efdf2c785d7a,187550592.6,86946.85313
621,SNNPR,Sidama,70401,Shebe Dino,3f71cbc6-79af-4800-8833-c93f46810050,250497214.5,106658.1626
622,SNNPR,Sidama,70411,Gorche,51fcb1f9-0a6f-4039-9850-276a9e26a124,185184515.6,78341.50362
623,SNNPR,Sidama,70404,Dale,bf6d0eb2-aca8-4a70-8a53-6e283c038a88,269810253.7,110125.9104
624,SNNPR,Sidama,70413,Wonosho,abe1ab04-5f24-4bb6-8180-7ed399d8c560,186828436.7,78412.94603
625,SNNPR,Wolayita,70604,Humbo,0e5d6370-6df8-4fa5-8151-419c147e537b,755856622,141966.1578
626,SNNPR,Sidama,70405,Aleta Wendo,62c43545-36d7-4595-827b-584542401341,227664396.1,78818.45096
627,SNNPR,Sidama,70418,Bona Zuria,57815e08-930d-459a-b61e-d32c0cebafdc,249983550.9,112276.5717
628,SNNPR,Sidama,70416,Bursa,ae559341-bfbb-4eb7-9d77-4f66a851f6b5,239782512.8,82415.51612
629,SNNPR,Sidama,70408,Bensa,93b6749c-8d6e-4459-8701-c71d2e6cf482,526567953.4,115898.8732
630,SNNPR,Gurage,70107,Mareko,7e893d44-40e0-40d2-ad17-60fb98946003,338563884.4,114197.7078
631,SNNPR,Hadiya,70201,Misha,026a1670-e81f-4e11-8eda-3adead5720bd,452324406.4,127312.9686
632,SNNPR,Hadiya,70204,Shashogo,74a385da-648e-409a-a58e-1586600b20f2,329738872.8,88262.37366
633,SNNPR,Gamo Gofa,71005,Mirab Abaya,0c936035-7e5b-4ba6-9d8e-ecc044206e5a,821337816,135723.6627
634,SNNPR,Gamo Gofa,71011,Ubadebretsehay,16eded9a-b68d-43c0-b301-ddece3e54230,708482172.8,133903.5425
635,SNNPR,South Omo,70705,Bena Tsemay,69ecdb03-21af-46ef-a926-1d137eb5b28c,3597125599,319236.1253
636,SNNPR,Gedio,70503,Kochere,19e998ff-86e1-4d97-a514-d204166c0cd7,207842225.6,66765.96973
